symbol,side,date,qty,px,pnl
ASIANPAINT,SELL,2025-05-06 00:00:00+05:30,1,2414.8566,81.07662500000015
ABSLAMC,SELL,2025-05-06 00:00:00+05:30,2,631.7775956176757,-85.59645321044923
AARTIIND,BUY,2025-05-07 00:00:00+05:30,4,459.0459972229004,0.0
APLAPOLLO,BUY,2025-05-07 00:00:00+05:30,1,1665.1619,0.0
ALIVUS,SELL,2025-05-21 00:00:00+05:30,1,1099.8683587646485,7.7504976562499905
ASHOKLEY,BUY,2025-05-21 00:00:00+05:30,3,122.4639968055725,0.0
ACMESOLAR,BUY,2025-05-22 00:00:00+05:30,1,252.97843888854982,0.0
ALOKINDS,BUY,2025-05-28 00:00:00+05:30,31,20.216247534751894,0.0
ASHOKLEY,SELL,2025-06-04 00:00:00+05:30,3,117.65684456176758,-14.421456731414764
ABCAPITAL,BUY,2025-06-09 00:00:00+05:30,1,240.54229472198486,0.0
AARTIIND,SELL,2025-06-12 00:00:00+05:30,4,469.23920109558105,40.77281549072268
APLAPOLLO,SELL,2025-06-12 00:00:00+05:30,1,1833.7130456176758,168.55114561767573
ACMESOLAR,SELL,2025-06-12 00:00:00+05:30,1,243.63286195220948,-9.345576936340336
AJANTPHARM,BUY,2025-06-12 00:00:00+05:30,1,2733.8494388916015,0.0
360ONE,BUY,2025-06-13 00:00:00+05:30,1,1141.98265,0.0
AJANTPHARM,SELL,2025-06-16 00:00:00+05:30,1,2594.8222912353517,-139.02714765624978
ANANDRATHI,BUY,2025-06-16 00:00:00+05:30,1,2106.7352,0.0
ALOKINDS,SELL,2025-06-17 00:00:00+05:30,31,19.69436331424713,-16.17841083564765
AUBANK,BUY,2025-06-26 00:00:00+05:30,1,820.7656222229004,0.0
ABFRL,BUY,2025-07-04 00:00:00+05:30,7,78.43183083343506,0.0
AUBANK,SELL,2025-07-14 00:00:00+05:30,1,803.9035771911621,-16.862045031738376
ASHOKLEY,BUY,2025-07-14 00:00:00+05:30,3,126.63941597213746,0.0
ABCAPITAL,SELL,2025-07-15 00:00:00+05:30,1,270.398025,29.85573027801516
ABFRL,SELL,2025-07-17 00:00:00+05:30,7,75.6215652191162,-19.671859300231958
ASHOKLEY,SELL,2025-07-17 00:00:00+05:30,3,123.589125,-9.150872916412382
