date,equity,cash,mtm,positions
2019-01-01,1000000.0,1000000.0,0.0,0
2019-01-02,1000000.0,1000000.0,0.0,0
2019-01-03,1000000.0,1000000.0,0.0,0
2019-01-04,1000000.0,1000000.0,0.0,0
2019-01-07,1000000.0,1000000.0,0.0,0
2019-01-08,1000000.0,1000000.0,0.0,0
2019-01-09,1000000.0,1000000.0,0.0,0
2019-01-10,1000000.0,1000000.0,0.0,0
2019-01-11,1000000.0,1000000.0,0.0,0
2019-01-14,1000000.0,1000000.0,0.0,0
2019-01-15,1000000.0,1000000.0,0.0,0
2019-01-16,1000000.0,1000000.0,0.0,0
2019-01-17,1000000.0,1000000.0,0.0,0
2019-01-18,1000000.0,1000000.0,0.0,0
2019-01-21,1000000.0,1000000.0,0.0,0
2019-01-22,1000000.0,1000000.0,0.0,0
2019-01-23,1000000.0,1000000.0,0.0,0
2019-01-24,1000000.0,1000000.0,0.0,0
2019-01-25,1000000.0,1000000.0,0.0,0
2019-01-28,1000000.0,1000000.0,0.0,0
2019-01-29,1000000.0,1000000.0,0.0,0
2019-01-30,1000000.0,1000000.0,0.0,0
2019-01-31,1000000.0,1000000.0,0.0,0
2019-02-01,1000000.0,1000000.0,0.0,0
2019-02-04,1000000.0,1000000.0,0.0,0
2019-02-05,1000000.0,1000000.0,0.0,0
2019-02-06,1000000.0,1000000.0,0.0,0
2019-02-07,1000000.0290405274,288.20000000007275,999711.8290405273,3
2019-02-08,997541.8189575196,288.20000000007275,997253.6189575195,3
2019-02-11,997348.7830688477,288.20000000007275,997060.5830688477,3
2019-02-12,988179.4188085939,234.64000000007218,987944.7788085938,3
2019-02-14,986621.0721868897,116.94000000007217,986504.1321868896,4
2019-02-15,986353.3885275269,121.39000000007212,986231.9985275269,4
2019-02-18,975172.5209585571,121.39000000007212,975051.1309585571,4
2019-02-19,974746.2421746827,527.8100000000721,974218.4321746826,3
2019-02-20,970820.0944757081,164.7100000000721,970655.384475708,4
2019-02-21,985407.4995956422,37.50000000007212,985369.9995956421,5
2019-02-22,985369.8870620729,37.50000000007212,985332.3870620728,5
2019-02-25,994547.9356307985,37.50000000007212,994510.4356307983,5
2019-02-26,998062.4666900636,37.50000000007212,998024.9666900635,5
2019-02-27,1015901.5022387695,66.7700000000721,1015834.7322387695,5
2019-02-28,1011401.8488040161,66.7700000000721,1011335.0788040161,5
2019-03-01,999632.5177416992,66.7700000000721,999565.7477416992,5
2019-03-05,1013665.6700091553,66.7700000000721,1013598.9000091553,5
2019-03-06,1023955.0988269043,66.7700000000721,1023888.3288269043,5
2019-03-07,1020670.9378161621,66.7700000000721,1020604.1678161621,5
2019-03-08,1033069.4533343506,66.7700000000721,1033002.6833343506,5
2019-03-11,1049005.2332720947,66.7700000000721,1048938.4632720947,5
2019-03-12,1049588.455546875,66.7700000000721,1049521.685546875,5
2019-03-13,1053052.77,66.7700000000721,1052986.0,5
2019-03-14,1054624.1465792847,66.7700000000721,1054557.3765792847,5
2019-03-15,1056454.9843859863,66.7700000000721,1056388.2143859863,5
2019-03-18,1046974.6378207398,66.7700000000721,1046907.8678207397,5
2019-03-19,1038791.7556109619,66.7700000000721,1038724.9856109619,5
2019-03-20,1030282.7912020874,66.7700000000721,1030216.0212020874,5
2019-03-22,1031074.471133728,66.7700000000721,1031007.701133728,5
2019-03-25,1031099.8555865479,66.7700000000721,1031033.0855865479,5
2019-03-26,1029462.5832858277,66.7700000000721,1029395.8132858276,5
2019-03-27,1039042.7033114624,66.7700000000721,1038975.9333114624,5
2019-03-28,1034543.0310473633,66.7700000000721,1034476.2610473633,5
2019-04-01,1025435.6344485474,66.7700000000721,1025368.8644485474,5
2019-04-02,1005772.0966998291,100.36999999999534,1005671.7266998291,5
2019-04-03,987766.4910327148,100.36999999999534,987666.1210327148,5
2019-04-04,993981.4365664673,100.36999999999534,993881.0665664673,5
2019-04-05,991356.2400942993,100.36999999999534,991255.8700942993,5
2019-04-08,987101.3543978882,100.36999999999534,987000.9843978882,5
2019-04-09,980602.8333483887,100.36999999999534,980502.4633483887,5
2019-04-10,979155.9900942993,100.36999999999534,979055.6200942993,5
2019-04-11,977051.1394784546,30.759999999995387,977020.3794784546,5
2019-04-12,973200.6693780518,30.759999999995387,973169.9093780518,5
2019-04-15,965793.2911965942,30.759999999995387,965762.5311965942,5
2019-04-16,963055.4756066895,30.759999999995387,963024.7156066895,5
2019-04-18,962577.7921191407,17.37000000011176,962560.4221191406,5
2019-04-22,950779.0376330568,17.37000000011176,950761.6676330566,5
2019-04-23,951531.0700083924,17.37000000011176,951513.7000083923,5
2019-04-24,952446.6049510194,17.37000000011176,952429.2349510193,5
2019-04-25,936588.1372920228,17.37000000011176,936570.7672920227,5
2019-04-26,927574.5437792969,165.1700000000419,927409.3737792969,4
2019-04-30,926229.360826416,165.1700000000419,926064.190826416,4
2019-05-02,922586.6625994873,165.1700000000419,922421.4925994873,4
2019-05-03,928742.4507159424,165.1700000000419,928577.2807159424,4
2019-05-06,924429.0677584839,165.1700000000419,924263.8977584839,4
2019-05-07,914688.4751528931,165.1700000000419,914523.3051528931,4
2019-05-08,907601.8103579712,165.1700000000419,907436.6403579712,4
2019-05-09,905827.1437854004,261.9200000000419,905565.2237854004,3
2019-05-10,914400.3029650879,261.9200000000419,914138.3829650879,3
2019-05-13,907838.1603564454,398.1700000000419,907439.9903564453,2
2019-05-14,904493.3673632813,1685.570000000036,902807.7973632812,2
2019-05-15,912299.484025879,108.17000000003623,912191.3140258789,3
2019-05-16,911149.2186450196,108.17000000003623,911041.0486450195,3
2019-05-17,904613.4392871094,108.17000000003623,904505.2692871094,3
2019-05-20,876768.1531771851,30.670000000018625,876737.4831771851,4
2019-05-21,891189.2555865479,30.670000000018625,891158.5855865479,4
2019-05-22,907400.1019343567,30.670000000018625,907369.4319343567,4
2019-05-23,922735.7035617066,30.670000000018625,922705.0335617065,4
