symbol,side,date,qty,px,pnl
DEVYANI,BUY,2025-01-06 00:00:00+05:30,4,198.007075,0.0
ITI,BUY,2025-01-06 00:00:00+05:30,1,545.0576305541992,0.0
ANANTRAJ,BUY,2025-01-08 00:00:00+05:30,1,936.7662027770996,0.0
ITI,SELL,2025-01-09 00:00:00+05:30,1,439.8274739044189,-105.23015664978033
DEVYANI,SELL,2025-01-10 00:00:00+05:30,4,179.95575543823242,-72.20527824707028
MARICO,BUY,2025-01-10 00:00:00+05:30,1,674.7760944458008,0.0
JUBLFOOD,SELL,2025-01-13 00:00:00+05:30,1,705.6813956176758,10.278545617675832
NEWGEN,SELL,2025-01-13 00:00:00+05:30,1,1577.0471456176758,-131.02043493652332
ANANTRAJ,SELL,2025-01-13 00:00:00+05:30,1,823.9275,-112.83870277709957
HINDUNILVR,BUY,2025-01-13 00:00:00+05:30,1,2454.1863,0.0
HINDUNILVR,SELL,2025-01-14 00:00:00+05:30,1,2364.8716162353517,-89.31468376464818
MINDACORP,BUY,2025-01-14 00:00:00+05:30,4,542.6545472229004,0.0
BIOCON,BUY,2025-01-14 00:00:00+05:30,2,388.1539388885498,0.0
HDFCLIFE,BUY,2025-01-16 00:00:00+05:30,1,642.2338444458007,0.0
NBCC,BUY,2025-01-20 00:00:00+05:30,5,98.88839013900757,0.0
MARICO,SELL,2025-01-27 00:00:00+05:30,1,655.7963793823242,-18.979715063476647
BIOCON,SELL,2025-01-27 00:00:00+05:30,2,369.768675,-36.77052777709969
HDFCLIFE,SELL,2025-01-27 00:00:00+05:30,1,609.4067521911621,-32.827092254638615
NBCC,SELL,2025-01-27 00:00:00+05:30,5,88.96419782867432,-49.62096155166627
MINDACORP,SELL,2025-01-28 00:00:00+05:30,4,541.4452293823242,-4.8372713623048185
BAJFINANCE,BUY,2025-01-28 00:00:00+05:30,3,761.6488311096191,0.0
BANKINDIA,BUY,2025-01-28 00:00:00+05:30,11,109.65236513900757,0.0
CREDITACC,BUY,2025-01-29 00:00:00+05:30,1,1070.5899111083984,0.0
BANKINDIA,SELL,2025-02-03 00:00:00+05:30,11,103.78490217132568,-64.54209264450077
UPL,BUY,2025-02-03 00:00:00+05:30,1,631.069325,0.0
CREDITACC,SELL,2025-02-11 00:00:00+05:30,1,994.8050456176758,-75.78486549072261
ASHOKLEY,BUY,2025-02-12 00:00:00+05:30,17,109.8175805557251,0.0
UPL,SELL,2025-02-28 00:00:00+05:30,1,632.1271771911621,1.0578521911620555
ASHOKLEY,SELL,2025-02-28 00:00:00+05:30,17,106.33159021911621,-59.26183572235118
SBFC,BUY,2025-02-28 00:00:00+05:30,9,88.3847476387024,0.0
HOMEFIRST,BUY,2025-02-28 00:00:00+05:30,1,1019.9742694458008,0.0
INDIACEM,BUY,2025-03-04 00:00:00+05:30,1,295.5837722229004,0.0
BAJFINANCE,SELL,2025-03-05 00:00:00+05:30,3,828.7911641235352,201.42699904174822
HINDALCO,BUY,2025-03-06 00:00:00+05:30,2,682.8365472229004,0.0
MEDANTA,BUY,2025-03-06 00:00:00+05:30,1,1254.5787861083984,0.0
SBFC,SELL,2025-03-11 00:00:00+05:30,9,84.93943804779053,-31.007786318206755
MEDANTA,SELL,2025-03-11 00:00:00+05:30,1,1172.97315,-81.60563610839836
AADHARHFC,BUY,2025-03-11 00:00:00+05:30,2,432.36132777709963,0.0
HEG,BUY,2025-03-12 00:00:00+05:30,3,406.6779888885498,0.0
INDIACEM,SELL,2025-03-13 00:00:00+05:30,1,272.49530109558106,-23.088471127319337
KNRCON,BUY,2025-03-19 00:00:00+05:30,1,243.5762324996948,0.0
AADHARHFC,SELL,2025-03-25 00:00:00+05:30,2,405.8217510955811,-53.07915336303711
HOMEFIRST,SELL,2025-03-26 00:00:00+05:30,1,1015.3783021911621,-4.595967254638708
CGCL,BUY,2025-03-26 00:00:00+05:30,4,195.11331861114502,0.0
CGCL,SELL,2025-03-27 00:00:00+05:30,4,164.68562390441895,-121.71077882690429
ADANIENSOL,BUY,2025-03-27 00:00:00+05:30,1,873.9846805541993,0.0
HINDALCO,SELL,2025-04-01 00:00:00+05:30,2,662.887125,-39.89884444580093
RHIM,BUY,2025-04-01 00:00:00+05:30,2,534.3437694458008,0.0
SHYAMMETL,BUY,2025-04-02 00:00:00+05:30,1,915.5887444458008,0.0
KNRCON,SELL,2025-04-04 00:00:00+05:30,1,223.53902282867432,-20.03720967102049
ADANIENSOL,SELL,2025-04-07 00:00:00+05:30,1,813.9904228088379,-59.994257745361324
RHIM,SELL,2025-04-07 00:00:00+05:30,2,463.54659890441894,-141.59434108276378
SHYAMMETL,SELL,2025-04-07 00:00:00+05:30,1,811.1441521911621,-104.44459225463868
DELHIVERY,BUY,2025-04-07 00:00:00+05:30,13,268.6988611114502,0.0
DELHIVERY,SELL,2025-04-08 00:00:00+05:30,13,248.57642390441896,-261.59168369140593
COROMANDEL,BUY,2025-04-08 00:00:00+05:30,1,2066.1324361083985,0.0
RAINBOW,BUY,2025-04-08 00:00:00+05:30,1,1481.5735694458008,0.0
HEG,SELL,2025-04-09 00:00:00+05:30,3,443.9720728088379,111.88225176086422
HINDPETRO,BUY,2025-04-09 00:00:00+05:30,1,379.7930777770996,0.0
