git add .
git commit -m "Describe your change"
git push origin maindate,equity,cash,mtm,positions
2024-08-30 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-02 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-03 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-04 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-05 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-06 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-09 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-10 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-11 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-12 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-13 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-16 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-17 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-18 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-19 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-20 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-23 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-24 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-25 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-26 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-27 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-09-30 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-01 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-03 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-04 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-07 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-08 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-09 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-10 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-11 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-14 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-15 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-16 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-17 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-18 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-21 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-22 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-23 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-24 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-25 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-28 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-29 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-30 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-10-31 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-11-01 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-11-04 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-11-05 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-11-06 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-11-07 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-11-08 00:00:00+05:30,10000.0,10000.0,0.0,0
2024-11-11 00:00:00+05:30,9993.59190985718,5064.291799993897,4929.300109863281,4
2024-11-12 00:00:00+05:30,9898.221731634523,5064.291799993897,4833.929931640625,4
2024-11-13 00:00:00+05:30,9869.481741400148,5064.291799993897,4805.18994140625,4
2024-11-14 00:00:00+05:30,9881.041715213014,5809.541715213013,4071.5,2
2024-11-18 00:00:00+05:30,9650.096030630493,4965.545920767212,4684.550109863281,3
2024-11-19 00:00:00+05:30,9739.345969595337,4965.545920767212,4773.800048828125,3
2024-11-21 00:00:00+05:30,9779.746055044556,4965.545920767212,4814.200134277344,3
2024-11-22 00:00:00+05:30,9720.526611184692,5057.526550149536,4663.000061035156,3
2024-11-25 00:00:00+05:30,9810.826537942505,5057.526550149536,4753.299987792969,3
2024-11-26 00:00:00+05:30,9857.626525735473,5057.526550149536,4800.0999755859375,3
2024-11-27 00:00:00+05:30,9927.526672219848,5057.526550149536,4870.0001220703125,3
2024-11-28 00:00:00+05:30,9959.676635598755,5057.526550149536,4902.150085449219,3
2024-11-29 00:00:00+05:30,10042.326598977661,5057.526550149536,4984.800048828125,3
2024-12-02 00:00:00+05:30,10038.826598977661,5057.526550149536,4981.300048828125,3
2024-12-03 00:00:00+05:30,10063.326537942505,5057.526550149536,5005.799987792969,3
2024-12-04 00:00:00+05:30,10129.326476907348,5057.526550149536,5071.7999267578125,3
2024-12-05 00:00:00+05:30,10212.976562356567,5057.526550149536,5155.450012207031,3
2024-12-06 00:00:00+05:30,10097.01537441101,5175.265252340698,4921.7501220703125,3
2024-12-09 00:00:00+05:30,10171.615288961792,5175.265252340698,4996.350036621094,3
2024-12-10 00:00:00+05:30,10217.815240133667,5175.265252340698,5042.549987792969,3
2024-12-11 00:00:00+05:30,10291.365288961792,5175.265252340698,5116.100036621094,3
2024-12-12 00:00:00+05:30,10282.065301168823,5175.265252340698,5106.800048828125,3
2024-12-13 00:00:00+05:30,10263.403314967345,5618.823282618713,4644.580032348633,3
2024-12-16 00:00:00+05:30,10288.553217311095,5618.823282618713,4669.729934692383,3
2024-12-17 00:00:00+05:30,10211.563211817931,5618.823282618713,4592.739929199219,3
2024-12-18 00:00:00+05:30,10189.363214869689,5618.823282618713,4570.539932250977,3
2024-12-19 00:00:00+05:30,10194.503305812072,5618.823282618713,4575.680023193359,3
2024-12-20 00:00:00+05:30,10044.465771607971,5621.605709962463,4422.860061645508,5
2024-12-23 00:00:00+05:30,9916.945706300354,5621.605709962463,4295.339996337891,5
2024-12-24 00:00:00+05:30,9941.559315205384,5188.209385395813,4753.34992980957,5
2024-12-26 00:00:00+05:30,10044.829349995423,5188.209385395813,4856.619964599609,5
2024-12-27 00:00:00+05:30,10002.459354878236,5188.209385395813,4814.249969482422,5
2024-12-30 00:00:00+05:30,9872.046921961975,5711.7368938858035,4160.310028076172,4
2024-12-31 00:00:00+05:30,9821.846925013733,5711.7368938858035,4110.11003112793,4
2025-01-01 00:00:00+05:30,9854.786881678772,5711.7368938858035,4143.049987792969,4
2025-01-02 00:00:00+05:30,9837.357011073304,5711.7368938858035,4125.6201171875,4
2025-01-03 00:00:00+05:30,9792.20684933014,5711.7368938858035,4080.469955444336,4
2025-01-06 00:00:00+05:30,9704.828761276247,5958.878810104371,3745.949951171875,4
2025-01-07 00:00:00+05:30,9672.418788131716,5958.878810104371,3713.5399780273438,4
2025-01-08 00:00:00+05:30,9594.25262197571,5022.112607327272,4572.1400146484375,5
2025-01-09 00:00:00+05:30,9467.500078790285,5461.940081231691,4005.5599975585938,4
2025-01-10 00:00:00+05:30,9429.637032952884,5506.98700853882,3922.6500244140625,4
2025-01-13 00:00:00+05:30,9278.856774188234,6159.456749774172,3119.4000244140625,2
2025-01-14 00:00:00+05:30,9181.602311547853,5577.4022993408225,3604.2000122070312,3
2025-01-15 00:00:00+05:30,9274.25227492676,5577.4022993408225,3696.8499755859375,3
2025-01-16 00:00:00+05:30,9378.668393859865,4935.168454895022,4443.499938964844,4
2025-01-17 00:00:00+05:30,9363.168515930178,4935.168454895022,4428.000061035156,4
2025-01-20 00:00:00+05:30,9395.326441638948,4440.7265041999835,4954.599937438965,5
2025-01-21 00:00:00+05:30,9310.926447742464,4440.7265041999835,4870.1999435424805,5
