Symbol,Year,ReturnPct
APOLLOHOSP.NS,2021,107.61
APOLLOHOSP.NS,2022,-10.28
APOLLOHOSP.NS,2023,28.06
APOLLOHOSP.NS,2024,26.89
APOLLOHOSP.NS,2025,3.26
APOLLOTYRE.NS,2021,21.82
APOLLOTYRE.NS,2022,46.81
APOLLOTYRE.NS,2023,38.32
APOLLOTYRE.NS,2024,16.8
APOLLOTYRE.NS,2025,-12.39
APTUS.NS,2021,-2.02
APTUS.NS,2022,-12.81
APTUS.NS,2023,5.44
APTUS.NS,2024,-12.31
APTUS.NS,2025,8.95
ARE&M.NS,2021,
ARE&M.NS,2022,
ARE&M.NS,2023,27.28
ARE&M.NS,2024,45.44
ARE&M.NS,2025,-18.19
ASAHIINDIA.NS,2021,73.53
ASAHIINDIA.NS,2022,6.31
ASAHIINDIA.NS,2023,10.63
ASAHIINDIA.NS,2024,33.87
ASAHIINDIA.NS,2025,10.78
ASHOKLEY.NS,2021,23.56
ASHOKLEY.NS,2022,12.29
ASHOKLEY.NS,2023,22.13
ASHOKLEY.NS,2024,18.58
ASHOKLEY.NS,2025,13.98
ASIANPAINT.NS,2021,21.88
ASIANPAINT.NS,2022,-9.77
ASIANPAINT.NS,2023,11.65
ASIANPAINT.NS,2024,-32.82
ASIANPAINT.NS,2025,9.28
ASTERDM.NS,2021,3.89
ASTERDM.NS,2022,29.61
ASTERDM.NS,2023,78.33
ASTERDM.NS,2024,27.23
ASTERDM.NS,2025,15.42
ASTRAL.NS,2021,74.21
ASTRAL.NS,2022,-15.79
ASTRAL.NS,2023,29.56
ASTRAL.NS,2024,-13.27
ASTRAL.NS,2025,-17.66
ASTRAZEN.NS,2021,-33.06
ASTRAZEN.NS,2022,7.01
ASTRAZEN.NS,2023,65.23
ASTRAZEN.NS,2024,29.4
ASTRAZEN.NS,2025,17.57
ATGL.NS,2021,356.95
ATGL.NS,2022,111.77
ATGL.NS,2023,-72.18
ATGL.NS,2024,-23.97
ATGL.NS,2025,-21.2
AUBANK.NS,2021,18.41
AUBANK.NS,2022,22.87
AUBANK.NS,2023,19.85
AUBANK.NS,2024,-28.87
AUBANK.NS,2025,26.29
AWL.NS,2021,
AWL.NS,2022,130.25
AWL.NS,2023,-41.24
AWL.NS,2024,-16.06
AWL.NS,2025,-23.49
